SimulationName  Clock.Today  SWC
ABlockRotPP_W1_N0  2005-02-22  410.6
ABlockRotPP_W1_N1  2005-02-22  417.475
ABlockRotPP_W2_N0  2005-02-22  420.2
ABlockRotPP_W2_N1  2005-02-22  413.0525
ABlockRotPP_W1_N0  2005-03-01  428.64
ABlockRotPP_W1_N1  2005-03-01  437.7125
ABlockRotPP_W2_N0  2005-03-01  445.175
ABlockRotPP_W2_N1  2005-03-01  440.4675
ABlockRotPP_W1_N1  2005-07-12  425.925
ABlockRotPP_W2_N1  2005-07-12  395.9
ABlockRotPW_W1_N1  2005-07-12  398.85
ABlockRotPW_W2_N1  2005-07-12  419.325
ABlockRotPP_W1_N1  2005-07-26  428.925
ABlockRotPP_W2_N1  2005-07-26  397.825
ABlockRotPW_W1_N1  2005-07-26  402.25
ABlockRotPW_W2_N1  2005-07-26  422.85
ABlockRotPP_W1_N1  2005-08-09  430.7
ABlockRotPP_W2_N1  2005-08-09  398.6
ABlockRotPW_W1_N1  2005-08-09  403.025
ABlockRotPW_W2_N1  2005-08-09  422.325
ABlockRotPP_W1_N1  2005-08-24  409.975
ABlockRotPP_W2_N1  2005-08-24  381.2
ABlockRotPW_W1_N1  2005-08-24  381.775
ABlockRotPW_W2_N1  2005-08-24  402.075
ABlockRotPP_W1_N1  2005-09-07  405.1
ABlockRotPP_W2_N1  2005-09-07  369.875
ABlockRotPW_W1_N1  2005-09-07  368.43
ABlockRotPW_W2_N1  2005-09-07  387.895
ABlockRotPP_W1_N1  2005-09-28  408.425
ABlockRotPP_W2_N1  2005-09-28  375.3
ABlockRotPW_W1_N1  2005-09-28  360.5
ABlockRotPW_W2_N1  2005-09-28  381.625
ABlockRotPP_W1_N1  2005-10-12  405.85
ABlockRot_PP_W2_N1  2005-10-12  368.15
ABlockRotPW_W1_N1  2005-10-12  353.925
ABlockRotPW_W2_N1  2005-10-12  374.025
ABlockRotPP_W1_N1  2005-10-27  388.055
ABlockRotPP_W2_N1  2005-10-27  349.205
ABlockRotPW_W1_N1  2005-10-27  312.01
ABlockRotPW_W2_N1  2005-10-27  333.885
ABlockRotPP_W1_N1  2005-11-07  376.475
ABlockRotPP_W2_N1  2005-11-07  335.2
ABlockRotPW_W1_N1  2005-11-07  327.6
ABlockRotPW_W2_N1  2005-11-07  290.475
ABlockRotPP_W1_N1  2005-11-22  400.8319209
ABlockRotPP_W2_N1  2005-11-22  368.6763281
ABlockRotPW_W1_N1  2005-11-22  283.8437352
ABlockRotPW_W2_N1  2005-11-22  359.1496541
ABlockRotPP_W1_N1  2005-12-06  372.85
ABlockRotPP_W2_N1  2005-12-06  325.475
ABlockRotPW_W1_N1  2005-12-06  292.075
ABlockRotPW_W2_N1  2005-12-06  311.275
ABlockRotPP_W1_N1  2005-12-20  385.075
ABlockRotPP_W2_N1  2005-12-20  354.125
ABlockRotPW_W1_N1  2005-12-20  336.375
ABlockRotPW_W2_N1  2005-12-20  349.075
ABlockRotPP_W1_N1  2006-01-04  372.15
ABlockRotPP_W2_N1  2006-01-04  337.5
ABlockRotPW_W1_N1  2006-01-04  321.275
ABlockRotPW_W2_N1  2006-01-04  304.5
ABlockRotPP_W1_N1  2006-01-17  401.6
ABlockRotPP_W2_N1  2006-01-17  352.3
ABlockRotPW_W1_N1  2006-01-17  378.9
ABlockRotPW_W2_N1  2006-01-17  358.55
ABlockRotPP_W1_N1  2006-04-05  330.125
ABlockRotPP_W2_N1  2006-04-05  283.05
ABlockRotPW_W1_N1  2006-04-05  335
ABlockRotPW_W2_N1  2006-04-05  338.35
ABlockRotPP_W1_N1  2006-05-16  423.4
ABlockRotPP_W2_N1  2006-05-16  345.6
ABlockRotPW_W1_N1  2006-05-16  410.8
ABlockRotPW_W2_N1  2006-05-16  426.6
ABlockRotPP_W1_N1  2006-05-31  444.5
ABlockRotPP_W2_N1  2006-05-31  407.0333333
ABlockRotPW_W1_N1  2006-05-31  449.9666667
ABlockRotPW_W2_N1  2006-05-31  459.8666667
ABlockRotPP_W1_N1  2006-07-28  491.8
ABlockRotPP_W2_N1  2006-07-28  475.3666667
ABlockRotPW_W1_N1  2006-07-28  485.4
ABlockRotPW_W2_N1  2006-07-28  497.6
ABlockRotPP_W1_N1  2006-08-02  446.6
ABlockRotPP_W2_N1  2006-08-02  443
ABlockRotPW_W1_N1  2006-08-02  415.3
ABlockRotPW_W2_N1  2006-08-02  425.6
ABlockRotPP_W1_N1  2006-09-06  465.6666667
ABlockRotPP_W2_N1  2006-09-06  450.9
ABlockRotPW_W1_N1  2006-09-06  461.2666667
ABlockRotPW_W2_N1  2006-09-06  477.3
ABlockRotPP_W1_N1  2006-12-19  362.6066667
ABlockRotPP_W2_N1  2006-12-19  344.94
ABlockRotPP_W1_N1  2006-12-29  397
ABlockRotPP_W2_N1  2006-12-29  358.9266667
ABlockRotPP_W1_N1  2007-01-09  387.4466667
ABlockRotPP_W2_N1  2007-01-09  352.89
ABlockRotPP_W1_N1  2007-01-16  378.2733333
ABlockRotPP_W2_N1  2007-01-16  346.06
ABlockRotPP_W1_N1  2007-01-23  355.85
ABlockRotPP_W2_N1  2007-01-23  327.89
ABlockRotPP_W1_N1  2007-01-30  363.6133333
ABlockRotPP_W2_N1  2007-01-30  325.8066667
ABlockRotPP_W1_N1  2007-02-05  372.5233333
ABlockRotPP_W2_N1  2007-02-05  312.8933333
ABlockRotPP_W1_N1  2007-02-20  354.5433333
ABlockRotPP_W2_N1  2007-02-20  336.7233333
ABlockRotPP_W1_N1  2007-02-27  362.0266667
ABlockRotPP_W2_N1  2007-02-27  320.8633333
ABlockRotPP_W1_N1  2007-03-06  369.99
ABlockRotPP_W2_N1  2007-03-06  306.94
ABlockRotPP_W1_N1  2007-06-05  397.3666667
ABlockRotPP_W2_N1  2007-06-05  372.1966667
ABlockRotPP_W1_N1  2007-06-18  399.1533333
ABlockRotPP_W2_N1  2007-06-18  377.03
ABlockRotPP_W1_N1  2007-07-10  472.6033333
ABlockRotPP_W2_N1  2007-07-10  447.3433333
ABlockRotPP_W1_N1  2007-07-25  501.66
ABlockRotPP_W2_N1  2007-07-25  477.68
ABlockRotPP_W1_N1  2007-07-31  446.8285714
ABlockRotPP_W2_N1  2007-07-31  507.1
ABlockRotPP_W1_N1  2007-08-14  532.0666667
ABlockRotPP_W2_N1  2007-08-14  519.9
ABlockRotPP_W1_N1  2007-08-22  516.1666667
ABlockRotPP_W2_N1  2007-08-22  503.2
ABlockRotPP_W1_N1  2007-08-31  521.7
ABlockRotPP_W2_N1  2007-08-31  509.3
ABlockRotPP_W1_N1  2007-09-10  505.7
ABlockRotPP_W2_N1  2007-09-10  493.3
