YearAH	PMPYear	Site	Sitecode	Metstation	Mestationcode	PMPSite	Caneno	Stage	BB50date	BB50DOY	BB50dayAH	BB50sdAH	FL50date	FL50DOY	FL50dayAH	FL50sdAH	VER50date	VER50DOY	VE50dayAH	VE50sdAH
2005	2006	Oyster	OYS	OYBstation	OYB	91002	4c	23	29-Sep-05	272	28.88615194	5.439483439	5/12/2005	339	4.772651672	1.420021541	2-Feb-06	63	2.077529083	6.492420925
2005	2006	Seaview	SV	SEAstation	SEA	91003	2c	23	23-Sep-05	266	23.03292721	4.719771274	7/12/2005	341	7.254188787	1.235907525	8-Feb-06	69	8.308837605	4.20588449
2005	2006	Seaview	SV	SEAstation	SEA	91003	4c	23	28-Sep-05	271	28.06232448	3.550797099	8/12/2005	342	8.419018285	1.343475831	9-Feb-06	70	9.154084169	4.231883329
2005	2006	Squires	SQ	Rapauracentral	RPC	91004	2c	23	30-Sep-05	273	30.02896073	6.590072526	4/12/2005	338	3.75061674	2.094575687	4-Feb-06	65	3.50218967	3.30753873
2005	2006	Squires	SQ	Rapauracentral	RPC	91004	4c	23	27-Sep-05	270	26.91151321	4.151635545	5/12/2005	339	4.665025488	1.733750569	4-Feb-06	65	3.678505044	2.841272659
2005	2006	Villa	VM	Blenheimstation	MRL	91005	2c	23	2-Oct-05	275	32.21078307	3.245035366	5/12/2005	339	4.937084638	1.80146327	7-Feb-06	68	6.697365057	4.280124928
2005	2006	Villa	VM	Blenheimstation	MRL	91005	4c	23	6-Oct-05	279	36.01997366	8.274263752	6/12/2005	340	5.986143006	2.318522899	7-Feb-06	68	7.199808541	4.314282949
2006	2007	Booker	BK	Brancott	BRA	91001	2c	23	8-Oct-06	281	37.53570096	4.643934051	13/12/2006	347	12.96282116	1.763228477	17-Feb-07	78	17.36376595	3.222951144
2006	2007	Booker	BK	Brancott	BRA	91001	4c	23	7-Oct-06	280	37.12624846	5.065815693	13/12/2006	347	13.03368719	1.627911032	17-Feb-07	78	17.08879902	2.996082863
2006	2007	Oyster	OYS	OYBstation	OYB	91002	2c	23	5-Oct-06	278	35.47233386	6.127335559	11/12/2006	345	11.13278068	5.211533296	18-Feb-07	79	18.02969969	3.595983164
2006	2007	Oyster	OYS	OYBstation	OYB	91002	4c	23	4-Oct-06	277	33.66283167	6.22658936	10/12/2006	344	10.48838335	4.66716332	17-Feb-07	78	16.78477492	3.247250432
2006	2007	Seaview	SV	SEAstation	SEA	91003	2c	23	29-Sep-06	272	29.2410639	7.508426396	10/12/2006	344	10.21142164	5.457005	17-Feb-07	78	17.13504908	2.75136129
2006	2007	Seaview	SV	SEAstation	SEA	91003	4c	23	28-Sep-06	271	28.32438082	5.041553661	12/12/2006	346	12.05978599	3.479442328	17-Feb-07	78	17.22024886	2.695889988
2006	2007	Squires	SQ	Rapauracentral	RPC	91004	2c	23	30-Sep-06	273	29.70277829	3.328847937	3/12/2006	337	3.391575187	4.940493324	14-Feb-07	75	13.83807292	5.452991809
2006	2007	Squires	SQ	Rapauracentral	RPC	91004	4c	23	1-Oct-06	274	31.08514493	2.445692332	7/12/2006	341	6.721671711	5.255959157	14-Feb-07	75	14.30891837	5.454397729
2006	2007	Villa	VM	Blenheimstation	MRL	91005	2c	23	3-Oct-06	276	32.68144495	3.265647939	7/12/2006	341	7.472457849	5.615382468	13-Feb-07	74	13.4665499	6.202272941
2006	2007	Villa	VM	Blenheimstation	MRL	91005	4c	23	3-Oct-06	276	33.1384335	3.282796271	9/12/2006	343	9.459455564	4.358569483	14-Feb-07	75	14.20008344	7.322017824
2007	2008	Booker	BK	Brancott	BRA	91001	2c	23	6-Oct-07	279	35.71116409	5.339015905	10/12/2007	344	10.11411106	2.880180858	11-Feb-08	72	11.05647866	5.068838195
2007	2008	Booker	BK	Brancott	BRA	91001	4c	23	8-Oct-07	281	37.82207035	3.295764664	11/12/2007	345	11.05998406	2.457163482	13-Feb-08	74	12.94492127	4.406036095
2007	2008	Oyster	OYS	OYBstation	OYB	91002	2c	23	6-Oct-07	279	35.51943367	4.157687189	9/12/2007	343	9.355332668	2.904098479	13-Feb-08	74	13.47699105	4.82055428
2007	2008	Oyster	OYS	OYBstation	OYB	91002	4c	23	9-Oct-07	282	39.04518298	5.875550018	11/12/2007	345	11.2007472	2.339466427	15-Feb-08	76	14.78082438	4.320377943
2007	2008	Seaview	SV	SEAstation	SEA	91003	2c	23	1-Oct-07	274	30.86400491	4.133215461	13/12/2007	347	12.55895908	2.083601978	11-Feb-08	72	11.01416481	5.358677719
2007	2008	Seaview	SV	SEAstation	SEA	91003	4c	23	4-Oct-07	277	33.99502925	4.649612458	14/12/2007	348	14.10420214	2.178014281	13-Feb-08	74	13.35336473	6.446451067
2007	2008	Squires	SQ	Rapauracentral	RPC	91004	2c	23	6-Oct-07	279	36.42545976	3.599132688	9/12/2007	343	9.324488257	2.790173397	13-Feb-08	74	12.60740939	3.672093946
2007	2008	Squires	SQ	Rapauracentral	RPC	91004	4c	23	8-Oct-07	281	37.55719727	5.144467042	11/12/2007	345	10.96158062	2.939985802	14-Feb-08	75	13.74792875	6.063744154
2007	2008	Villa	VM	Blenheimstation	MRL	91005	2c	23	8-Oct-07	281	38.33046989	4.206885678	9/12/2007	343	9.113457731	2.323954319	13-Feb-08	74	12.50022379	3.634436557
2007	2008	Villa	VM	Blenheimstation	MRL	91005	4c	23	7-Oct-07	280	36.83525956	3.51388719	10/12/2007	344	9.525649239	2.222106745	13-Feb-08	74	12.66572783	4.876499426
2008	2009	Booker	BK	Brancott	BRA	91001	2c	23	4-Oct-08	278	33.73063405	4.224566654	12/12/2008	347	11.87069758	3.464291149	19-Feb-09	80	19.21489978	6.376472498
2008	2009	Oyster	OYS	OYBstation	OYB	91002	2c	23	4-Oct-08	278	33.73704859	4.050671484	9/12/2008	344	8.954385473	3.75270256	14-Feb-09	75	13.87714127	7.350476592
2008	2009	Seaview	SV	SEAstation	SEA	91003	2c	23	2-Oct-08	276	32.04793937	3.995849519	12/12/2008	347	12.35318563	3.837217017	22-Feb-09	83	21.82766844	7.281806743
2008	2009	Squires	SQ	Rapauracentral	RPC	91004	2c	23	3-Oct-08	277	32.94031479	2.94448799	7/12/2008	342	6.908132816	3.74313533	18-Feb-09	79	18.23959435	9.304558355
2008	2009	Villa	VM	Blenheimstation	MRL	91005	2c	23	7-Oct-08	281	36.87608288	4.341803087	11/12/2008	346	11.22111871	4.746746813	24-Feb-09	85	24.29191772	9.39401924
2009	2010	Booker	BK	Brancott	BRA	91001	2c	23	9-Oct-09	282	38.54836019	4.967800149	21/12/2009	355	20.65795127	3.704401575	21-Feb-10	82	20.83072485	6.434302388
2009	2010	Oyster	OYS	OYBstation	OYB	91002	2c	23	8-Oct-09	281	37.55169049	4.386654461	18/12/2009	352	17.69949899	3.801426371	19-Feb-10	80	18.52741883	8.991637828
2009	2010	Seaview	SV	SEAstation	SEA	91003	2c	23	30-Sep-09	273	29.78947438	7.276243304	24/12/2009	358	23.71295266	2.766530501	26-Feb-10	87	26.22789268	4.140447885
2009	2010	Squires	SQ	Rapauracentral	RPC	91004	2c	23	3-Oct-09	276	32.51395609	7.304352592	15/12/2009	349	14.91878335	3.530409155	15-Feb-10	76	14.7575943	6.303471887
2009	2010	Villa	VM	Blenheimstation	MRL	91005	2c	23	9-Oct-09	282	39.48338587	4.616898993	18/12/2009	352	17.99693466	3.572846693	24-Feb-10	85	24.1821159	6.754119631
2010	2011	Booker	BK	Brancott	BRA	91001	2c	23	12-Oct-10	285	42.27856929	3.975748819	11/12/2010	345	10.98146722	3.294832504	13-Feb-11	74	13.40250337	4.52257857
2010	2011	Oyster	OYS	OYBstation	OYB	91002	2c	23	13-Oct-10	286	43.04558444	3.135413154	11/12/2010	345	10.56784141	3.434194299	11-Feb-11	72	10.78370678	4.675098481
2010	2011	Seaview	SV	SEAstation	SEA	91003	2c	23	6-Oct-10	279	35.78211929	5.289358492	17/12/2010	351	16.95862896	3.101837878	19-Feb-11	80	18.55892268	6.3073478
2010	2011	Squires	SQ	Rapauracentral	RPC	91004	2c	23	8-Oct-10	281	37.50001761	5.337842648	7/12/2010	341	6.779043174	4.270610024	10-Feb-11	71	9.850613192	5.720698257
2010	2011	Villa	VM	Blenheimstation	MRL	91005	2c	23	14-Oct-10	287	43.64468683	3.221512825	10/12/2010	344	10.29005614	2.764775956	12-Feb-11	73	11.91382086	4.503179468
2011	2012	Booker	BK	Brancott	BRA	91001	2c	23	17-Oct-11	290	47.40750861	4.93607373	23/12/2011	357	22.95131304	3.227219589	*	*	*	*
2011	2012	Crosse	CR	*	*	91006	4c	23	13-Oct-11	286	42.5011073	5.12785268	21/12/2011	355	20.51160678	3.846221718	*	*	*	*
2011	2012	Oyster	OYS	OYBstation	OYB	91002	2c	23	15-Oct-11	288	45.4543098	3.382202777	20/12/2011	354	19.76947128	4.31026615	*	*	*	*
2011	2012	Seaview	SV	SEAstation	SEA	91003	2c	23	16-Oct-11	289	45.7508577	6.386384281	26/12/2011	360	26.23245484	2.712455248	*	*	*	*
2011	2012	Squires	SQ	Rapauracentral	RPC	91004	2c	23	16-Oct-11	289	45.61345277	5.008611347	17/12/2011	351	16.58445645	3.880643827	*	*	*	*
2011	2012	Villa	VM	Blenheimstation	MRL	91005	2c	23	22-Oct-11	295	51.54305758	2.851485933	22/12/2011	356	21.54549996	3.567117425	*	*	*	*
