 Year    Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
 1935     6.5    -4.6    12.2     2.8    -6.6    -2.3    -0.4     2.1     6.3     7.3     3.9    -4.0   
 1936    -2.0     0.6     1.8    22.6     4.4    -1.5     4.2    -8.9     2.6    -0.1    -13.9    0.6   
 1937     9.4    -5.0     6.2     2.0    -0.3     3.4    -5.6     3.3     0.8    -2.5    -2.0     6.7   
 1938     7.5     3.4    -3.6     3.6    13.1    18.0    18.5    13.0     7.5    12.8     1.9    13.8   
 1939    17.0     7.7    11.6     9.4    -1.1    -1.5     8.1    -0.5    -9.4    -14.7   -8.0    -8.6   
 1940    -0.1    -4.1    -10.6   -9.6    -14.5   -19.3   -15.4   -18.5   -19.6   -18.4   -6.7    -29.4  
 1941    -9.7    -15.4   -10.6   -11.2   -6.6    -14.4   -20.6   -19.1   -8.2    -20.2   -9.3    -8.6   
 1942    -13.0   -3.6    -5.8    -5.5     5.2     8.3    -1.0     4.0     8.7     8.5    -4.0    13.8   
 1943     9.4    10.5     4.0    13.5     2.8    -7.9     2.9     7.8     5.7     9.1     3.9    -8.6   
 1944    -8.2     3.9     5.6    -5.5    -1.1    -3.9    -8.9     3.3     2.6    -8.6    -6.7     4.2   
 1945     5.1     6.3    13.2    -7.1    -0.3     8.3     3.5    11.7     8.7     2.4    -3.4     6.7   
 1946    -2.5     4.4    -2.0    -9.6    -11.4   -9.6    -10.2   -4.4    -16.0   -12.3   -1.4    -5.5   
 1947    -4.9    -4.1    11.6    -4.6    -13.7    2.6     9.4     7.2    11.7    -1.9     9.2     5.2   
 1948    -3.0    -2.7    -4.1     2.8     3.6    -4.7     0.9    -4.4    -7.6     6.1     4.6    -5.5   
 1949    -7.3     2.0     5.6     1.2    -5.8    -12.0   -1.7    -4.4     2.0     5.4    -6.0     7.7   
 1950     5.1    17.6    17.6    16.8     7.6    26.9    21.1    12.3     6.9    17.1    12.5    23.0   
 1951    16.5     9.6    -1.4    -1.3    -6.6     5.0    -8.2    -0.5    -7.0    -8.0    -3.4    -3.0   
 1952    -9.2    -7.9     0.2    -8.8     6.0     7.4     3.5    -3.7    -3.4     1.8    -0.7    -12.6  
 1953     2.2    -6.0    -5.8    -0.5    -31.9   -2.3    -1.0    -17.2   -13.0   -0.1    -2.0    -4.0   
 1954     6.0    -3.6    -0.9     6.9     4.4    -1.5     4.2    10.4     4.5     1.8     3.9    12.8   
 1955    -5.4    15.2     2.9    -3.0    13.1    16.4    19.2    14.9    14.1    15.2    15.1     9.3   
 1956    11.3    12.4     9.4    11.1    17.9    12.3    12.6    11.0     0.2    18.3     1.9    10.3   
 1957     5.6    -2.2    -0.9     1.2    -12.2   -2.3     0.9    -9.5    -10.6   -1.3    -11.9   -3.5   
 1958    -16.8   -6.9    -1.4     1.2    -8.2     0.2     2.2     7.8    -3.4    -1.9    -4.7    -6.5   
 1959    -8.7    -14.0    8.4     3.6     2.8    -6.3    -5.0    -5.0     0.2     4.2    11.1     8.2   
 1960     0.3    -2.2     5.6     7.8     5.2    -2.3     4.8     6.6     6.9    -0.7     7.2     6.7   
 1961    -2.5     6.3    -20.9    9.4     1.3    -3.1     2.2     0.1     0.8    -5.0     7.2    13.8   
 1962    17.0     5.3    -1.4     1.2    12.3     5.0    -0.4     4.6     5.1    10.3     5.2     0.6   
 1963     9.4     3.0     7.3     6.1     2.8    -9.6    -1.0    -2.4    -5.2    -12.9   -9.3    -11.6  
 1964    -4.0    -0.3     8.4    13.5     2.8     7.4     6.8    14.3    14.1    12.8     2.6    -3.0   
 1965    -4.0     1.6     2.9    -12.9   -0.3    -12.8   -22.6   -11.4   -14.2   -11.1   -17.9    1.6   
 1966    -12.0   -4.1    -13.9   -7.1    -9.0     1.0    -1.0     4.0    -2.2    -2.5    -0.1    -4.0   
 1967    14.6    12.9     7.8    -3.0    -3.5     6.6     1.6     5.9     5.1    -0.1    -4.0    -5.5   
 1968     4.1     9.6    -3.0    -3.0    14.7    12.3     7.4     0.1    -2.8    -1.9    -3.4     2.1   
 1969    -13.5   -6.9     1.8    -8.8    -6.6    -0.6    -6.9    -4.4    -10.6   -11.7   -0.1     3.7   
 1970    -10.1   -10.7    1.8    -4.6     2.1     9.9    -5.6     4.0    12.9    10.3    19.7    17.4   
 1971     2.7    15.7    19.2    22.6     9.2     2.6     1.6    14.9    15.9    17.7     7.2     2.1   
 1972     3.7     8.2     2.4    -5.5    -16.1   -12.0   -18.6   -8.9    -14.8   -11.1   -3.4    -12.1  
 1973    -3.0    -13.5    0.8    -2.1     2.8    12.3     6.1    12.3    13.5     9.7    31.6    16.9   
 1974    20.8    16.2    20.3    11.1    10.7     2.6    12.0     6.6    12.3     8.5    -1.4    -0.9   
 1975    -4.9     5.3    11.6    14.4     6.0    15.5    21.1    20.7    22.5    17.7    13.8    19.5   
 1976    11.8    12.9    13.2     1.2     2.1     0.2    -12.8   -12.1   -13.0    3.0     9.8    -3.0   
 1977    -4.0     7.7    -9.5    -9.6    -11.4   -17.7   -14.7   -12.1   -9.4    -12.9   -14.6   -10.6  
 1978    -3.0    -24.4   -5.8    -7.9    16.3     5.8     6.1     1.4     0.8    -6.2    -2.0    -0.9   
 1979    -4.0     6.7    -3.0    -5.5     3.6     5.8    -8.2    -5.0     1.4    -2.5    -4.7    -7.5   
 1980     3.2     1.1    -8.5    -12.9   -3.5    -4.7    -1.7     1.4    -5.2    -1.9    -3.4    -0.9   
 1981     2.7    -3.2    -16.6   -5.5     7.6    11.5     9.4     5.9     7.5    -5.0     2.6     4.7   
 1982     9.4     0.6     2.4    -3.8    -8.2    -20.1   -19.3   -23.6   -21.4   -20.2   -31.1   -21.3  
 1983    -30.6   -33.3   -28.0   -17.0    6.0    -3.1    -7.6     0.1     9.9     4.2    -0.7     0.1   
 1984     1.3     5.8    -5.8     2.0    -0.3    -8.7     2.2     2.7     2.0    -5.0     3.9    -1.4   
 1985    -3.5     6.7    -2.0    14.4     2.8    -9.6    -2.3     8.5     0.2    -5.6    -1.4     2.1   
 1986     8.0    -10.7    0.8     1.2    -6.6    10.7     2.2    -7.6    -5.2     6.1    -13.9   -13.6  
 1987    -6.3    -12.6   -16.6   -24.4   -21.6   -20.1   -18.6   -14.0   -11.2   -5.6    -1.4    -4.5   
 1988    -1.1    -5.0     2.4    -1.3    10.0    -3.9    11.3    14.9    20.1    14.6    21.0    10.8   
 1989    13.2     9.1     6.7    21.0    14.7     7.4     9.4    -6.3     5.7     7.3    -2.0    -5.0   
 1990    -1.1    -17.3   -8.5    -0.5    13.1     1.0     5.5    -5.0    -7.6     1.8    -5.3    -2.4   
 1991     5.1     0.6    -10.6   -12.9   -19.3   -5.5    -1.7    -7.6    -16.6   -12.9   -7.3    -16.7  
 1992    -25.4   -9.3    -24.2   -18.7    0.5    -12.8   -6.9     1.4     0.8    -17.2   -7.3    -5.5   
 1993    -8.2    -7.9    -8.5    -21.1   -8.2    -16.0   -10.8   -14.0   -7.6    -13.5    0.6     1.6   
 1994    -1.6     0.6    -10.6   -22.8   -13.0   -10.4   -18.0   -17.2   -17.2   -14.1   -7.3    -11.6  
 1995    -4.0    -2.7     3.5    -16.2   -9.0    -1.5     4.2     0.8     3.2    -1.3     1.3    -5.5   
 1996     8.4     1.1     6.2     7.8     1.3    13.9     6.8     4.6     6.9     4.2    -0.1     7.2   
 1997     4.1    13.3    -8.5    -16.2   -22.4   -24.1   -9.5    -19.8   -14.8   -17.8   -15.2   -9.1   
 1998    -23.5   -19.2   -28.5   -24.4    0.5     9.9    14.6     9.8    11.1    10.9    12.5    13.3   
 1999    15.6     8.6     8.9    18.5     1.3     1.0     4.8     2.1    -0.4     9.1    13.1    12.8   
 2000     5.1    12.9     9.4    16.8     3.6    -5.5    -3.7     5.3     9.9     9.7    22.4     7.7   
 2001     8.4    11.9     6.7     0.3    -9.0     1.8    -3.7    -8.2     1.4    -1.9     7.2    -9.1   
 2002     2.7     7.7    -5.2    -3.8    -14.5   -6.3    -7.6    -14.6   -8.2    -7.4    -6.0    -10.6  
 2003    -2.0    -7.4    -6.8    -5.5    -7.4    -12.0    2.9    -1.8    -2.2    -1.9    -3.4     9.3   
 2004    -11.6    9.1     0.2    -15.4   13.1    -15.2   -6.9    -7.6    -2.8    -3.7    -8.6    -8.0   
 2005     1.8    -28.6    0.2    -11.2   -14.5    2.6     0.9    -6.9     3.9    10.9    -2.0     0.1   
 2006    12.7     0.1    13.8    14.4    -9.8    -6.3    -7.6    -15.9   -5.8    -16.0   -1.4    -3.5   
 2007    -7.8    -2.7    -1.4    -3.0    -2.7     5.0    -5.0     2.7     1.4     5.4     9.2    14.4   
 2008    14.1    21.3    12.2     4.5    -3.5     4.2     2.2     9.1    13.5    13.4    17.1    13.3   
 2009     9.4    14.8     0.2     8.6    -7.4    -2.3     1.6    -5.0     3.9    -14.7   -6.0    -7.0   
 2010    -10.1   -14.5   -10.6   15.2    10.0     1.8    20.5    18.8    24.9    18.3    16.4    27.1   
 2011    19.9    22.3    21.4    25.1     2.1     0.2    10.7     2.1    11.7     7.3    13.8    23.0   
 2012     9.4     2.5     2.9    -7.1    -2.7    -10.4   -1.7    -5.0     2.6     2.4     3.9    -6.0   
 2013    -1.1    -3.6    10.5     0.3     8.4    13.9     8.1    -0.5     3.9    -1.9     9.2     0.6   
 2014    12.2    -1.3    -13.3    8.6     4.4    -1.5    -3.0    -11.4   -7.6    -8.0    -10.0   -5.5   
 2015    -7.8     0.6    -11.2   -3.8    -13.7   -12.0   -14.7   -19.8   -17.8   -20.2   -5.3    -9.1   
 2016    -19.7   -19.7   -4.7    -22.0    2.8     5.8     4.2     5.3    13.5    -4.3    -0.7     2.6   
 2017     1.3    -2.2     5.1    -6.3
