year,day,radn,maxt,mint,rain,pan,vp,code
1999,122,17.0,22.5,4.5,0.0,3.8,12.0,222222
1999,123,16.0,24.0,4.0,0.0,3.8,12.0,222222
1999,124,16.0,24.5,8.5,0.0,4.4,13.0,222222
1999,125,15.0,24.0,7.5,0.0,4.6,13.0,222222
1999,126,15.0,23.5,9.5,0.0,3.2,14.0,222222
1999,127,11.0,24.0,12.0,0.0,4.8,16.0,222222
1999,128,15.0,24.0,8.0,0.0,3.8,15.0,222222
1999,129,13.0,22.5,11.5,0.0,3.2,16.0,222222
1999,130,5.0,20.0,15.5,0.0,2.0,17.0,222222
1999,131,8.0,20.5,15.5,1.6,1.6,16.0,222222
1999,132,13.0,25.0,9.0,0.0,2.6,16.0,222222
1999,133,14.0,21.5,12.5,14.8,3.8,17.0,222222
1999,134,13.0,23.0,7.0,0.6,3.2,13.0,222222
1999,135,15.0,26.5,7.5,0.0,3.2,12.0,222222
1999,136,17.0,25.0,6.5,0.0,3.4,11.0,222222
1999,137,16.0,23.5,10.0,0.0,3.4,14.0,222222
1999,138,14.0,24.0,7.0,0.0,3.4,13.0,222222
1999,139,6.0,21.5,13.0,0.0,3.0,16.0,222222
1999,140,14.0,23.5,13.0,0.0,3.2,14.0,222222
1999,141,12.0,24.5,11.5,0.0,2.6,16.0,222222
1999,142,12.0,23.0,11.5,0.0,2.4,17.0,222222
1999,143,15.0,25.0,11.5,0.0,4.4,16.0,222222
1999,144,15.0,25.0,8.0,0.0,3.4,14.0,222222
1999,145,10.0,25.0,8.5,0.0,2.4,15.0,222222
1999,146,10.0,28.5,13.5,0.0,2.4,15.0,222222
1999,147,15.0,26.5,9.0,0.0,2.6,17.0,222222
1999,148,14.0,26.0,9.5,0.0,3.2,16.0,222222
1999,149,15.0,25.0,9.0,0.0,4.0,16.0,222222
1999,150,16.0,27.0,7.5,0.0,3.2,14.0,222222
1999,151,15.0,28.5,7.5,0.0,4.2,17.0,222222
1999,152,15.0,22.5,5.5,0.0,3.6,12.0,222222
1999,153,13.0,22.0,5.0,0.0,3.6,11.0,222222
1999,154,11.0,23.0,10.0,0.0,3.0,12.0,222222
1999,155,14.0,23.0,8.0,0.0,3.6,13.0,222222
1999,156,12.0,22.5,11.0,0.0,2.6,15.0,222222
1999,157,13.0,23.0,11.0,0.0,2.2,15.0,222222
1999,158,12.0,23.5,8.0,0.0,2.6,15.0,222222
1999,159,4.0,21.5,11.5,0.0,2.6,16.0,222222
1999,160,6.0,22.5,15.0,0.0,2.4,17.0,222222
1999,161,7.0,18.0,13.5,14.3,1.4,17.0,222222
1999,162,15.0,17.0,7.0,0.3,3.2,12.0,222222
1999,163,15.0,17.0,-1.0,0.0,2.4,9.0,222222
1999,164,11.0,22.0,-0.5,0.0,2.8,9.0,222222
1999,165,15.0,17.0,7.0,0.0,3.8,9.0,222222
1999,166,15.0,15.5,2.5,0.0,3.4,8.0,222222
1999,167,16.0,15.5,0.5,0.0,3.4,8.0,222222
1999,168,15.0,16.5,-2.5,0.0,3.0,8.0,222222
1999,169,15.0,18.0,-2.5,0.0,2.4,8.0,222222
1999,170,15.0,19.5,-2.0,0.0,2.6,7.0,222222
1999,171,15.0,19.5,-1.5,0.0,2.6,8.0,222222
1999,172,14.0,20.5,-1.0,0.0,3.4,7.0,222222
1999,173,15.0,20.0,-1.5,0.0,3.0,7.0,222222
1999,174,9.0,17.5,0.0,0.0,1.4,9.0,222222
1999,175,13.0,19.0,7.0,11.0,2.8,13.0,222222
1999,176,15.0,19.5,5.0,0.0,3.4,10.0,222222
1999,177,14.0,21.0,2.0,0.0,2.8,10.0,222222
1999,178,4.0,17.0,8.5,0.0,1.0,13.0,222222
1999,179,6.0,17.0,10.5,0.0,1.2,14.0,222222
1999,180,10.0,21.0,11.0,0.5,2.2,15.0,222222
1999,181,8.0,20.0,10.5,0.0,3.2,16.0,222222
1999,182,11.0,16.0,10.5,26.5,3.4,13.0,222222
1999,183,8.0,14.5,8.5,3.6,1.6,10.0,222222
1999,184,8.0,17.5,2.5,0.0,1.8,9.0,222222
1999,185,14.0,20.0,4.5,0.0,2.0,11.0,222222
1999,186,11.0,18.5,4.0,0.0,1.6,12.0,222222
1999,187,13.0,22.0,7.0,1.1,2.0,14.0,222222
1999,188,15.0,22.0,6.5,0.0,2.6,13.0,222222
1999,189,15.0,22.0,7.0,0.0,2.6,13.0,222222
1999,190,11.0,20.5,6.0,0.0,2.4,13.0,222222
1999,191,13.0,20.5,9.5,1.6,2.8,14.0,222222
1999,192,12.0,22.5,10.5,0.0,2.0,13.0,222222
1999,193,10.0,22.0,10.5,0.0,2.2,15.0,222222
1999,194,9.0,19.5,12.5,0.3,3.8,15.0,222222
1999,195,10.0,15.0,4.5,0.0,2.0,11.0,222222
1999,196,7.0,19.0,9.0,1.5,1.6,14.0,222222
1999,197,6.0,16.0,11.5,0.0,1.8,15.0,222222
1999,198,11.0,16.0,10.0,5.0,1.6,14.0,222222
1999,199,13.0,19.0,3.0,0.1,2.0,11.0,222222
1999,200,16.0,24.0,3.5,0.0,2.8,11.0,222222
1999,201,17.0,19.0,4.5,0.0,3.6,7.0,222222
1999,202,17.0,17.0,-0.5,0.0,3.6,8.0,222222
1999,203,17.0,17.5,-1.5,0.0,3.4,8.0,222222
1999,204,10.0,20.0,-0.5,0.0,2.6,8.0,222222
1999,205,4.0,12.5,7.5,14.4,1.0,12.3,222222
1999,206,13.0,18.0,5.5,16.6,2.0,12.0,222222
1999,207,15.0,18.5,6.5,0.0,4.0,10.0,222222
1999,208,14.0,19.0,5.5,0.0,2.0,11.0,222222
1999,209,16.0,19.0,5.5,0.0,2.4,11.0,222222
1999,210,14.0,19.5,6.5,0.0,2.4,12.0,222222
1999,211,13.0,20.0,5.0,0.0,2.4,13.0,222222
1999,212,13.0,21.5,7.5,0.0,2.6,13.0,222222
1999,213,17.0,20.0,6.0,0.1,2.6,9.0,222222
1999,214,16.0,19.5,4.5,0.0,2.6,8.0,222222
1999,215,17.0,19.5,4.5,0.0,2.2,11.0,222222
1999,216,17.0,19.5,6.0,0.0,3.2,11.0,222222
1999,217,17.0,20.0,4.0,0.0,2.4,9.0,222222
1999,218,17.0,19.5,3.5,0.0,3.2,10.0,222222
1999,219,16.0,20.5,1.5,0.0,3.0,11.0,222222
1999,220,17.0,22.0,3.5,0.0,2.4,12.0,222222
1999,221,12.0,20.0,10.0,3.6,1.8,15.0,222222
1999,222,19.0,20.0,2.0,0.0,3.2,11.0,222222
1999,223,18.0,22.0,1.0,0.0,3.0,11.0,222222
1999,224,18.0,22.5,7.0,0.0,3.4,13.0,222222
1999,225,18.0,25.0,11.5,0.0,5.8,14.0,222222
1999,226,19.0,17.5,4.5,0.0,5.0,8.0,222222
1999,227,20.0,17.5,1.5,0.0,2.6,8.0,222222
1999,228,20.0,20.0,-1.5,0.0,3.4,8.0,222222
1999,229,19.0,21.0,-0.5,0.0,3.0,8.0,222222
1999,230,19.0,21.5,5.0,0.0,2.8,13.0,222222
1999,231,20.0,22.5,1.5,0.0,3.0,12.0,222222
1999,232,20.0,25.0,3.5,0.0,3.6,12.0,222222
1999,233,20.0,26.0,2.0,0.0,3.8,9.0,222222
1999,234,8.0,21.5,10.5,0.0,2.8,15.0,222222
1999,235,17.0,20.5,10.0,0.0,3.2,13.0,222222
1999,236,14.0,20.0,9.0,0.0,2.8,14.0,222222
1999,237,18.0,22.5,9.5,0.1,3.2,13.0,222222
1999,238,18.0,24.0,9.5,0.0,4.2,15.0,222222
1999,239,14.0,24.0,10.5,0.4,3.6,16.0,222222
1999,240,19.0,22.0,8.0,2.3,3.6,14.0,222222
1999,241,14.0,21.5,5.5,0.0,3.2,13.0,222222
1999,242,14.0,22.0,12.0,3.4,3.4,17.0,222222
1999,243,14.0,23.0,12.0,0.0,3.4,16.0,222222
1999,244,16.0,21.5,9.5,0.0,2.4,13.0,222222
1999,245,18.0,22.5,9.0,0.0,3.4,15.0,222222
1999,246,19.0,23.0,9.0,0.0,3.4,15.0,222222
1999,247,19.0,24.0,9.5,0.0,3.8,15.0,222222
1999,248,22.0,27.5,6.0,0.0,4.8,15.0,222222
1999,249,22.0,25.5,10.5,0.0,5.0,13.0,222222
1999,250,18.0,24.0,12.0,0.0,4.0,15.0,222222
1999,251,22.0,23.0,3.5,0.0,3.8,13.0,222222
1999,252,21.0,24.5,8.5,0.0,3.8,14.0,222222
1999,253,15.0,25.5,10.0,0.0,4.4,17.0,222222
1999,254,16.0,19.0,12.5,10.1,2.8,14.0,222222
1999,255,23.0,22.0,5.0,0.0,3.6,14.0,222222
1999,256,23.0,24.5,4.0,0.0,4.2,12.0,222222
1999,257,22.0,26.0,3.5,0.0,4.0,10.0,222222
1999,258,23.0,29.0,8.0,0.0,5.0,15.0,222222
1999,259,24.0,28.5,13.0,0.0,7.4,16.0,222222
1999,260,21.0,21.5,13.0,0.0,5.2,17.0,222222
1999,261,24.0,21.5,4.0,0.0,6.0,9.0,222222
1999,262,24.0,20.5,1.0,0.0,3.4,8.0,222222
1999,263,20.0,22.5,6.5,0.0,3.6,13.0,222222
1999,264,22.0,24.0,8.0,0.0,4.4,14.0,222222
1999,265,22.0,25.0,7.5,0.0,4.8,15.0,222222
1999,266,23.0,26.5,7.5,0.0,4.6,15.0,222222
1999,267,25.0,29.0,6.5,0.0,4.8,15.0,222222
1999,268,23.0,30.0,7.5,0.0,7.0,16.0,222222
1999,269,22.0,27.5,13.5,0.0,7.0,17.0,222222
1999,270,19.0,26.5,13.0,0.0,7.6,17.0,222222
1999,271,19.0,26.5,13.0,0.0,4.0,16.0,222222
1999,272,20.0,24.5,11.0,1.8,4.6,16.0,222222
1999,273,19.0,25.0,11.5,0.0,4.2,15.0,222222
1999,274,19.0,26.0,12.5,0.0,3.8,16.0,222222
1999,275,19.0,27.0,13.0,0.2,5.2,16.0,222222
1999,276,12.0,26.5,14.5,0.1,3.2,18.0,222222
1999,277,14.0,29.0,17.0,0.4,4.6,18.0,222222
1999,278,23.0,25.5,9.5,8.1,4.0,15.0,222222
1999,279,24.0,27.5,13.5,0.0,5.0,15.0,222222
1999,280,20.0,26.0,13.0,0.0,4.4,13.0,222222
1999,281,23.0,27.5,12.5,0.0,5.4,14.0,222222
1999,282,26.0,29.5,11.0,0.0,6.4,16.0,222222
1999,283,27.0,30.5,10.0,0.0,6.4,13.0,222222
1999,284,26.0,33.0,13.0,0.0,8.0,15.0,222222
1999,285,26.0,34.5,16.0,0.0,8.6,15.0,222222
1999,286,17.0,31.5,17.0,0.0,6.8,18.0,222222
1999,287,15.0,26.5,18.0,11.1,3.6,21.0,222222
1999,288,21.0,29.0,16.0,1.2,5.4,20.0,222222
1999,289,22.0,30.0,16.0,0.0,6.0,19.0,222222
1999,290,24.0,29.5,16.5,0.0,6.2,17.0,222222
1999,291,24.0,30.5,15.0,0.0,5.8,18.0,222222
1999,292,19.0,29.0,15.5,0.0,6.2,19.0,222222
1999,293,12.0,22.5,11.5,0.0,4.6,14.0,222222
1999,294,22.0,28.0,10.5,0.0,5.8,15.0,222222
1999,295,16.0,26.5,12.0,0.1,5.8,17.0,222222
1999,296,23.0,27.5,16.5,0.0,4.4,17.0,222222
1999,297,20.0,28.0,17.0,6.8,6.2,21.0,222222
1999,298,29.0,28.0,5.5,0.0,7.0,8.0,222222
1999,299,22.0,33.5,8.5,0.0,6.8,11.0,222222
1999,300,9.0,26.0,19.0,0.0,5.2,21.0,222222
1999,301,25.0,30.5,17.0,10.8,6.4,22.0,222222
1999,302,26.0,30.5,14.5,0.0,6.2,18.0,222222
1999,303,23.0,31.5,14.0,0.0,7.8,14.0,222222
1999,304,9.0,27.0,16.5,0.0,4.0,16.0,222222
1999,305,22.0,26.5,17.0,10.3,6.6,19.0,222222
1999,306,22.0,24.5,14.0,0.0,7.0,14.0,222222
1999,307,26.0,25.0,10.5,0.0,5.6,12.0,222222
1999,308,19.0,26.0,11.5,0.0,7.2,13.0,222222
1999,309,15.0,26.5,12.0,0.0,6.2,15.0,222222
1999,310,8.0,27.0,17.5,0.0,4.4,19.0,222222
1999,311,21.0,28.0,16.0,11.4,3.6,23.0,222222
1999,312,13.0,26.0,16.5,3.5,4.6,23.0,222222
1999,313,24.0,22.5,14.5,28.6,7.6,15.0,222222
1999,314,30.0,23.0,8.5,0.0,7.6,7.0,222222
1999,315,24.0,23.0,7.5,0.0,4.2,11.0,222222
1999,316,27.0,24.5,11.0,0.0,5.2,13.0,222222
1999,317,28.0,26.5,8.5,0.0,6.2,13.0,222222
1999,318,28.0,29.0,11.5,0.0,6.0,15.0,222222
1999,319,28.0,32.0,15.0,0.0,8.4,12.0,222222
1999,320,19.0,32.0,17.5,0.0,8.0,13.0,222222
1999,321,28.0,27.0,10.0,4.3,7.2,15.0,222222
1999,322,22.0,24.5,14.5,0.0,5.0,16.0,222222
1999,323,20.0,25.0,14.5,5.3,7.2,16.0,222222
1999,324,20.0,25.0,12.5,0.0,4.0,16.0,222222
1999,325,14.0,24.5,14.5,0.0,3.6,15.0,222222
1999,326,16.0,30.5,16.0,0.0,5.6,22.0,222222
1999,327,15.0,27.5,17.0,9.6,4.4,24.0,222222
1999,328,25.0,29.5,13.5,0.2,7.0,17.0,222222
1999,329,18.0,27.0,16.0,0.0,5.8,18.0,222222
1999,330,15.0,26.5,14.5,0.0,6.4,16.0,222222
1999,331,8.0,26.0,15.5,0.0,7.2,17.0,222222
1999,332,24.0,25.5,12.5,0.0,6.0,15.0,222222
1999,333,18.0,23.5,11.5,0.0,5.4,15.0,222222
1999,334,25.0,27.0,12.5,0.0,7.2,15.0,222222
1999,335,19.0,27.0,12.5,0.0,6.4,16.0,222222
1999,336,27.0,28.0,12.5,0.0,8.6,14.0,222222
1999,337,28.0,29.0,13.0,0.0,9.4,18.0,222222
1999,338,29.0,32.5,13.0,0.0,8.2,17.0,222222
1999,339,28.0,32.0,17.5,0.0,8.0,17.0,222222
1999,340,30.0,31.5,16.0,0.0,9.0,17.0,222222
1999,341,29.0,30.5,15.0,0.0,9.2,15.0,222222
1999,342,30.0,32.5,14.0,0.0,9.6,17.0,222222
1999,343,30.0,34.0,17.0,0.0,10.0,18.0,222222
1999,344,28.0,36.0,20.0,0.0,10.8,19.0,222222
1999,345,8.0,26.5,21.0,0.0,3.2,23.0,222222
1999,346,24.0,27.5,16.5,44.9,5.8,17.0,222222
1999,347,25.0,25.5,16.5,0.0,6.6,18.0,222222
1999,348,26.0,27.5,14.0,0.0,8.8,15.0,222222
1999,349,28.0,28.0,14.0,0.0,7.8,14.0,222222
1999,350,26.0,29.0,14.0,0.0,7.0,17.0,222222
1999,351,10.0,30.0,19.0,0.0,5.0,19.0,222222
1999,352,8.0,22.0,20.0,24.0,1.2,22.0,222222
1999,353,29.0,28.0,14.0,13.3,5.6,16.0,222222
1999,354,28.0,27.5,15.5,0.0,7.8,17.0,222222
1999,355,23.0,26.0,14.0,0.0,6.0,16.0,222222
1999,356,22.0,26.5,14.0,0.0,7.0,15.0,222222
1999,357,13.0,25.0,15.0,0.0,6.0,17.0,222222
1999,358,19.0,26.0,14.5,0.0,4.6,18.0,222222
1999,359,24.0,28.0,15.5,0.0,7.6,18.0,222222
1999,360,19.0,28.0,14.0,0.0,5.4,16.0,222222
1999,361,8.0,17.5,16.0,15.2,2.6,17.0,222222
1999,362,13.0,24.0,14.5,21.9,3.0,19.0,222222
1999,363,26.0,28.0,16.5,2.9,8.0,22.0,222222
1999,364,28.0,29.5,14.0,0.0,7.8,18.0,222222
1999,365,31.0,30.0,14.5,0.0,7.8,21.0,222222
2000,1,28.0,30.5,13.5,0.0,6.4,20.0,222222
