ParamName,ParamUnit,Description,Wheat0,Wheat50,Wheat100,Wheat150,Wheat200,Wheat250,Wheat300,Wheat350,Wheat365
LeafMaxNConc,gN/gDM,Highest N conc of organ,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
LeafMinNConc,gN/gDM,Lowest N conc of organ,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
ProductMaxNConc,gN/gDM,Highest N conc of organ,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
ProductMinNConc,gN/gDM,Lowest N conc of organ,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012
RootMaxNConc,gN/gDM,Highest N conc of organ,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013
RootMinNConc,gN/gDM,Lowest N conc of organ,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
TrunkMaxNConc,gN/gDM,Highest N conc of organ,0,0,0,0,0,0,0,0,0
TrunkMinNConc,gN/gDM,Lowest N conc of organ,0,0,0,0,0,0,0,0,0
MaxRootDepth,mm,Potential depth that roots achieve when plant is mature,1100,1100,1100,1100,1100,1100,1100,1100,1100
RootTheNeighboursZone,bool,Do roots grow into neighbouring zone if multi simulation run?,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Frost_Temp_X,oC,Minimum temperatures for frost damage,(-5 0),(-5 0),(-5 0),(-5 0),(-5 0),(-5 0),(-5 0),(-5 0),(-5 0)
Frost_Frac_Y,fractional,Frost damage at x-axes temperaure,(1 0),(1 0),(1 0),(1 0),(1 0),(1 0),(1 0),(1 0),(1 0)
WaterStressLAI_Fw_X,fractional,Fractional degree of water stress,(0 0.5 1),(0 0.5 1),(0 0.5 1),(0 0.5 1),(0 0.5 1),(0 0.5 1),(0 0.5 1),(0 0.5 1),(0 0.5 1)
WaterStressLAI_Frac_Y,fractional,Fractional multiplier of LAI expansion rates,(0 1 1),(0 1 1),(0 1 1),(0 1 1),(0 1 1),(0 1 1),(0 1 1),(0 1 1),(0 1 1)
WaterStressExtCoeff_Fw_X,fractional,Fractional degree of water stress,(0 0.5 1),(0 0.5 1),(0 0.5 1),(0 0.5 1),(0 0.5 1),(0 0.5 1),(0 0.5 1),(0 0.5 1),(0 0.5 1)
WaterStressExtCoeff_Frac_Y,fractional,Fractional multiplier of extinction coefficient,(0 1 1),(0 1 1),(0 1 1),(0 1 1),(0 1 1),(0 1 1),(0 1 1),(0 1 1),(0 1 1)
WaterStressRUE_Fw_X,fractional,Fractional degree of water stress,(0 0.5 1),(0 0.5 1),(0 0.5 1),(0 0.5 1),(0 0.5 1),(0 0.5 1),(0 0.5 1),(0 0.5 1),(0 0.5 1)
WaterStressRUE_Fract_Y,fractional,Fractional multiplier of extinction coefficient,(0 1 1),(0 1 1),(0 1 1),(0 1 1),(0 1 1),(0 1 1),(0 1 1),(0 1 1),(0 1 1)
